time,x,y,z,xvalue,yvalue,zvalue
0.5,-3.88889,-1.66667,0,2.03168e+09,1.10665e+09,-0
0.5,-3.88889,-0.555556,0,5.17086e+08,1.39267e+09,-0
0.5,-3.88889,0.555556,0,3.27285e+08,1.08358e+09,-0
0.5,-3.88889,1.66667,0,5.86508e+08,8.57017e+08,-0
0.5,-3.88889,2.77778,0,1.10471e+09,3.79194e+08,-0
0.5,-3.88889,3.88889,0,9.55758e+08,-1.05412e+09,-0
0.5,-3.88889,5,0,-2.57663e+08,-4.54781e+08,-0
0.5,-2.77778,-5,0,1.44899e+08,-6.49051e+08,-0
0.5,-2.77778,-3.88889,0,9.5055e+08,-6.03942e+08,-0
0.5,-2.77778,-2.77778,0,2.1185e+09,1.85839e+09,-0
0.5,-2.77778,-1.66667,0,-6.60587e+08,1.5799e+09,-0
0.5,-2.77778,-0.555556,0,-8.08656e+08,9.09e+08,-0
0.5,-2.77778,0.555556,0,-5.74667e+08,7.99782e+08,-0
0.5,-2.77778,1.66667,0,-1.96683e+08,8.13563e+08,-0
0.5,-2.77778,2.77778,0,2.6219e+08,7.37001e+08,-0
0.5,-2.77778,3.88889,0,8.23047e+08,3.69966e+08,-0
0.5,-2.77778,5,0,3.34679e+08,-5.15372e+08,-0
0.5,-1.66667,-5,0,4.41604e+08,-6.38675e+08,-0
0.5,-1.66667,-3.88889,0,1.59941e+09,3.46118e+07,-0
0.5,-1.66667,-2.77778,0,-7.62417e+08,3.3004e+09,-0
0.5,-1.66667,-1.66667,0,-1.93093e+09,6.95349e+08,-0
0.5,-1.66667,-0.555556,0,-1.60468e+09,1.03777e+08,-0
0.5,-1.66667,0.555556,0,-1.17893e+09,3.35334e+08,-0
0.5,-1.66667,1.66667,0,-6.16938e+08,6.62689e+08,-0
0.5,-1.66667,2.77778,0,-6.43433e+07,7.32355e+08,-0
0.5,-1.66667,3.88889,0,4.35346e+08,5.61162e+08,-0
0.5,-1.66667,5,0,8.08723e+08,-8.77283e+07,-0
0.5,-0.555556,-5,0,6.13418e+08,-5.51796e+08,-0
0.5,-0.555556,-3.88889,0,1.66083e+09,5.7533e+08,-0
0.5,-0.555556,-2.77778,0,-3.1474e+09,3.98719e+09,-0
0.5,-0.555556,-1.66667,0,-4.39371e+09,-9.74195e+08,-0
0.5,-0.555556,-0.555556,0,-2.63161e+09,-2.14324e+09,-0
0.5,-0.555556,0.555556,0,-1.88864e+09,-6.22279e+08,-0
0.5,-0.555556,1.66667,0,-9.20458e+08,5.57353e+08,-0
0.5,-0.555556,2.77778,0,-1.81134e+08,7.31401e+08,-0
0.5,-0.555556,3.88889,0,3.2018e+08,5.76989e+08,-0
0.5,-0.555556,5,0,8.25622e+08,1.50472e+08,-0
0.5,0.555556,-5,0,6.09741e+08,-4.94431e+08,-0
0.5,0.555556,-3.88889,0,1.34542e+09,3.9973e+08,-0
0.5,0.555556,-2.77778,0,-1.55138e+09,4.50362e+09,-0
0.5,0.555556,-1.66667,0,-1.85326e+10,-6.01741e+09,-0
0.5,0.555556,-0.555556,0,-4.32849e+09,-1.0811e+10,-0
0.5,0.555556,0.555556,0,-2.65831e+09,-1.60572e+09,-0
0.5,0.555556,1.66667,0,-9.02394e+08,7.05301e+08,-0
0.5,0.555556,2.77778,0,-8.74481e+07,7.4588e+08,-0
0.5,0.555556,3.88889,0,3.57578e+08,5.28289e+08,-0
0.5,0.555556,5,0,7.17053e+08,1.16649e+08,-0
0.5,1.66667,-5,0,4.90793e+08,-5.00824e+08,-0
0.5,1.66667,-3.88889,0,1.00009e+09,1.50733e+07,-0
0.5,1.66667,-2.77778,0,9.11667e+08,1.49337e+09,-0
0.5,1.66667,-1.66667,0,-2.13434e+09,2.62699e+09,-0
0.5,1.66667,-0.555556,0,-3.43201e+09,6.70478e+08,-0
0.5,1.66667,0.555556,0,-1.39711e+09,9.70621e+08,-0
0.5,1.66667,1.66667,0,-3.0863e+08,9.08736e+08,-0
0.5,1.66667,2.77778,0,1.84579e+08,6.74789e+08,-0
0.5,1.66667,3.88889,0,4.79016e+08,3.93088e+08,-0
0.5,1.66667,5,0,5.80807e+08,-4.35272e+07,-0
0.5,2.77778,-5,0,3.18238e+08,-5.42993e+08,-0
0.5,2.77778,-3.88889,0,7.06506e+08,-2.67156e+08,-0
0.5,2.77778,-2.77778,0,9.08468e+08,3.1071e+08,-0
0.5,2.77778,-1.66667,0,6.56233e+08,9.65148e+08,-0
0.5,2.77778,-0.555556,0,2.22517e+08,1.14965e+09,-0
0.5,2.77778,0.555556,0,1.56349e+08,9.46673e+08,-0
0.5,2.77778,1.66667,0,3.01197e+08,6.9043e+08,-0
0.5,2.77778,2.77778,0,4.59954e+08,4.40062e+08,-0
0.5,2.77778,3.88889,0,5.96536e+08,1.47487e+08,-0
0.5,2.77778,5,0,4.15156e+08,-2.30809e+08,-0
0.5,3.88889,-5,0,1.01251e+08,-5.9294e+08,-0
0.5,3.88889,-3.88889,0,4.4233e+08,-4.57107e+08,-0
0.5,3.88889,-2.77778,0,6.75373e+08,-1.82148e+08,-0
0.5,3.88889,-1.66667,0,7.39157e+08,1.37866e+08,-0
0.5,3.88889,-0.555556,0,6.68782e+08,3.43992e+08,-0
0.5,3.88889,0.555556,0,5.9357e+08,3.69726e+08,-0
0.5,3.88889,1.66667,0,5.76655e+08,2.68922e+08,-0
0.5,3.88889,2.77778,0,5.99954e+08,8.56976e+07,-0
0.5,3.88889,3.88889,0,6.17483e+08,-2.18823e+08,-0
0.5,3.88889,5,0,1.61752e+08,-4.13299e+08,-0
0.5,5,-5,0,-2.1851e+08,-6.17453e+08,-0
0.5,5,-3.88889,0,1.48716e+08,-5.95754e+08,-0
0.5,5,-2.77778,0,4.03285e+08,-4.64876e+08,-0
0.5,5,-1.66667,0,5.49398e+08,-2.96686e+08,-0
0.5,5,-0.555556,0,6.01515e+08,-1.63711e+08,-0
0.5,5,0.555556,0,6.01106e+08,-1.17114e+08,-0
0.5,5,1.66667,0,5.84096e+08,-1.73283e+08,-0
0.5,5,2.77778,0,5.4647e+08,-3.51761e+08,-0
0.5,5,3.88889,0,3.51391e+08,-7.56e+08,-0
0.5,5,5,0,-9.23503e+08,-8.52234e+08,-0
